303,Invalid last purchase date
303,Invalid churned value
304,Invalid join date
304,Invalid last purchase date
304,Invalid churned value
305,Invalid join date
305,Invalid last purchase date
305,Invalid churned value
306,Invalid join date
306,Invalid last purchase date
306,Invalid churned value
307,Invalid join date
307,Invalid last purchase date
307,Invalid churned value
308,Invalid join date
308,Invalid last purchase date
308,Invalid churned value
309,Invalid join date
309,Invalid last purchase date
309,Invalid churned value
310,Invalid join date
310,Invalid last purchase date
310,Invalid churned value
311,Invalid join date
311,Invalid last purchase date
311,Invalid churned value
312,Invalid join date
312,Invalid last purchase date
312,Invalid churned value
313,Invalid join date
313,Invalid last purchase date
313,Invalid churned value
314,Invalid join date
314,Invalid last purchase date
315,Invalid join date
315,Invalid last purchase date
315,Invalid churned value
316,Invalid join date
316,Invalid last purchase date
316,Invalid churned value
317,Invalid join date
317,Invalid last purchase date
317,Invalid churned value
318,Invalid join date
318,Invalid last purchase date
318,Invalid churned value
319,Invalid join date
319,Invalid last purchase date
319,Invalid churned value
320,Invalid join date
320,Invalid last purchase date
320,Invalid churned value
321,Invalid join date
321,Invalid last purchase date
321,Invalid churned value
322,Invalid join date
322,Invalid last purchase date
322,Invalid churned value
323,Invalid join date
323,Invalid last purchase date
323,Invalid churned value
324,Invalid join date
324,Invalid last purchase date
324,Invalid churned value
325,Invalid join date
325,Invalid last purchase date
325,Invalid churned value
326,Invalid join date
326,Invalid last purchase date
326,Invalid churned value
327,Invalid join date
327,Invalid last purchase date
327,Invalid churned value
328,Invalid join date
328,Invalid last purchase date
328,Invalid churned value
329,Invalid join date
329,Invalid last purchase date
329,Invalid churned value
330,Invalid join date
330,Invalid last purchase date
330,Invalid churned value
331,Invalid join date
331,Invalid last purchase date
331,Invalid churned value
332,Invalid join date
332,Invalid last purchase date
332,Invalid churned value
333,Invalid join date
333,Invalid last purchase date
333,Invalid churned value
334,Invalid join date
334,Invalid last purchase date
334,Invalid churned value
335,Invalid join date
335,Invalid last purchase date
335,Invalid churned value
336,Invalid join date
336,Invalid last purchase date
336,Invalid churned value
337,Invalid join date
337,Invalid last purchase date
337,Invalid churned value
338,Invalid join date
338,Invalid last purchase date
339,Invalid join date
339,Invalid last purchase date
339,Invalid churned value
340,Invalid join date
340,Invalid last purchase date
340,Invalid churned value
341,Invalid join date
341,Invalid last purchase date
341,Invalid churned value
342,Invalid join date
342,Invalid last purchase date
342,Invalid churned value
343,Invalid join date
343,Invalid last purchase date
343,Invalid churned value
344,Invalid join date
344,Invalid last purchase date
344,Invalid churned value
345,Invalid join date
345,Invalid last purchase date
345,Invalid churned value
346,Invalid join date
346,Invalid last purchase date
346,Invalid churned value
347,Invalid join date
347,Invalid last purchase date
347,Invalid churned value
348,Invalid join date
348,Invalid last purchase date
349,Invalid join date
349,Invalid last purchase date
349,Invalid churned value
350,Invalid join date
350,Invalid last purchase date
350,Invalid churned value
351,Invalid join date
351,Invalid last purchase date
351,Invalid churned value
352,Invalid join date
352,Invalid last purchase date
352,Invalid churned value
353,Invalid join date
353,Invalid last purchase date
353,Invalid churned value
354,Invalid join date
354,Invalid last purchase date
354,Invalid churned value
355,Invalid join date
355,Invalid last purchase date
355,Invalid churned value
356,Invalid join date
356,Invalid last purchase date
356,Invalid churned value
357,Invalid join date
357,Invalid last purchase date
357,Invalid churned value
358,Invalid join date
358,Invalid last purchase date
358,Invalid churned value
359,Invalid join date
359,Invalid last purchase date
359,Invalid churned value
360,Invalid join date
360,Invalid last purchase date
360,Invalid churned value
361,Invalid join date
361,Invalid last purchase date
362,Invalid join date
362,Invalid last purchase date
362,Invalid churned value
363,Invalid join date
363,Invalid last purchase date
363,Invalid churned value
364,Invalid join date
364,Invalid last purchase date
364,Invalid churned value
365,Invalid join date
365,Invalid last purchase date
365,Invalid churned value
366,Invalid join date
366,Invalid last purchase date
366,Invalid churned value
367,Invalid join date
367,Invalid last purchase date
367,Invalid churned value
368,Invalid join date
368,Invalid last purchase date
368,Invalid churned value
369,Invalid join date
369,Invalid last purchase date
369,Invalid churned value
370,Invalid join date
370,Invalid last purchase date
370,Invalid churned value
